loop|id|group|activity|description
1547|BGN|29|on the move|let this tank sweep you in softness it feels so silky next to skin you may never want to take it off
1548|BGO|10|yoga|flow freely made from our buttery soft nulu fabric this ruched longline bra follows your every move so you can float through yoga flows without restriction
1549|BGP|4|on the move|store your small important documents in this roomy wallet remove the shoulder strap to wear it as a clutch or go handsfree and wear it crossbody
1550|BGQ|81|on the move|this oversized woolblend jacket keeps you wrapped in warmth all day long
1551|BGR|10|yoga|feels almost as good as savasana these reversible yoga bras powered by weightlessly soft nulu fabric wrap you in buttery softness
1552|BGS|21|on the move|feel the bliss from running errands to chill nights in this loungeworthy skirt dials up the softness
1553|BGT|23|training|fuel your ambition in these versatile tights supportive fabrics and a superhigh rise keep you feeling covered and confident during your sweat sessions
1554|BGU|30|on the move|snowy slopes are in the forecast this fleecy half zip fits over your favourite base layer for an added dose of warmth on and off the mountain
1555|BGV|46|running|lightweight running socks designed with microcushioning in the heel and toe for comfort during your sweatiest workouts
1556|BGW|29|on the move|feel it to believe it this longsleeve dress has a peachfuzz touch thats impossible to resist dress it up or down and enjoy the softness all day
1557|BGX|50|on the move|this playful pullover is here to party with bold colours and soft lightweight yarns this sweater is the bright light your sweater collection is missing
1558|BGY|69|on the move|made to perform on outdoor adventures this technical merino woolblend beanie is the cherry on top of your coldweather wardrobe
1559|BGZ|29|on the move|one touch of this softly textured jumpsuit and youll want to wear it on repeat
1560|BHA|67|swim|the waters calling when you want to feel covered but not too covered reach for this onepiece swimsuit that has a high neck and plunging back
1561|BHB|28|on the move|lightweight waterproof and breathable this tailored rain jacket is the ideal everyday piece to keep you dry when youre on the move fully seamsealed and made with waterproof breathable glyde fabric
1562|BHC|46|on the move|put your best foot forward in these goanywhere socks designed with seamless chafefree toes and a snug arch support for allday comfort
1563|BHD|40|swim|ready for hot days and cool dips this swim top has an open square neckline and back closure
1564|BHE|13|on the move|easy does it pull on this soft heavyweight crew neck to stay cozy and comfortable while out and about
1565|BHF|9|running|go from your 5k run to your paddleboard in this lightweight hat
1566|BHG|13|on the move|all day hug yes please this cozy everyday layer has a snug hood to frame your face and a closetobody fit that feels like a warm squeeze
1567|BHH|0|running|let off some steam in this waterrepellent beanie brushed fleece fabric helps keep you warm during cold weather runs
1568|BHI|0|running|let off some steam in this waterrepellent beanie made from brushed fleece fabric to help keep you warm during cold weather runs
1569|BHJ|82|running|dont let the cold hold you back this waterrepellent beanie is made of brushed fleece fabric to help keep you warm during coldweather runs
1570|BHK|43|on the move|every workout deserves a cozy recovery this cropped pullover is made from breathable fleece fabric and pairs perfectly with high rise tights for easy postgym comfort
1571|BHL|6|on the move|dial up your comfort level these slimfit trousers have elastic waist panels to customize your fit while waterresistant fabric keeps you moving in fluctuating weather
1572|BHM|59|on the move|step outside the box this pullover is constructed using an innovative 3d knitting technology to reduce the number of seams and minimize fabric waste
1573|BHN|35|running|whether youre running 1 mile 5k or 10000 metres you can count on this highneck tank powered by nulux fabric to get you through it with zero distractions
1574|BHO|92|yoga|when feeling nothing is everything powered by nulu fabric this version of our BrightJupiter align pants feels butterysoft while ribbed panels add dimension to your practice
1575|BHP|9|running|keep endorphins high when the temperatures low this running top powered by our antistink technology keeps you warm and feeling fresh from trail to track
1576|BHQ|50|on the move|a classic base layer to contour your shape because layering is always a good idea
1577|BHR|4|on the move|soft antistink fabric check roomy fit check bonus pocket for your small stuff mini check this tee has it all
1578|BHS|97|on the move|your outdoor plans just got a whole lot comfier this jacket has the familiar fit of your favourite hoodie plus stretchy waterproof fabric
1579|BHT|19|on the move|this zipfront jumpsuit is made in a waterrepellent textured stretch fabric to keep you moving from dawn till dusk
1580|BHU|80|yoga|take a breath and go deep this lightweight tank has mesh fabric panelling so you can feel the airflow as you sink into every pose
1581|BHV|60|on the move|BrightJupiter lab creates lifestyle essentials for the modern wardrobe blending streamlined function with innovative design built with mobility in mind this supersoft longsleeve tee features a unique wash and a dolman sleeve for easy movement and effortless style
1582|BHW|57|running|add another mile to your coldweather run this vest helps protect you from the elements and has stretchy fabric where you need to move
1583|BHX|39|on the move|soft and stretchy with a twist add some charm to your daily routine in this cropped pima cotton tee with a twistfront detail
